[0.019s] Invoking command in '/home/sparklab/sparklab/gnss-ros_ws/build/realsense2_camera_msgs': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/humble /usr/bin/cmake --build /home/sparklab/sparklab/gnss-ros_ws/build/realsense2_camera_msgs -- -j4 -l4
[0.105s] [  1%] Built target realsense2_camera_msgs__cpp
[0.124s] [ 12%] Built target realsense2_camera_msgs__rosidl_generator_c
[0.126s] [ 12%] Built target ament_cmake_python_symlink_realsense2_camera_msgs
[0.164s] [ 23%] Built target realsense2_camera_msgs__rosidl_typesupport_fastrtps_cpp
[0.171s] [ 34%] Built target realsense2_camera_msgs__rosidl_typesupport_cpp
[0.187s] [ 46%] Built target realsense2_camera_msgs__rosidl_typesupport_fastrtps_c
[0.200s] [ 57%] Built target realsense2_camera_msgs__rosidl_typesupport_introspection_cpp
[0.229s] [ 68%] Built target realsense2_camera_msgs__rosidl_typesupport_introspection_c
[0.235s] [ 79%] Built target realsense2_camera_msgs__rosidl_typesupport_c
[0.274s] [ 79%] Built target realsense2_camera_msgs
[0.333s] [ 80%] Built target realsense2_camera_msgs__py
[0.389s] [ 90%] Built target realsense2_camera_msgs__rosidl_generator_py
[0.485s] running egg_info
[0.486s] writing realsense2_camera_msgs.egg-info/PKG-INFO
[0.486s] writing dependency_links to realsense2_camera_msgs.egg-info/dependency_links.txt
[0.487s] writing top-level names to realsense2_camera_msgs.egg-info/top_level.txt
[0.490s] reading manifest file 'realsense2_camera_msgs.egg-info/SOURCES.txt'
[0.491s] writing manifest file 'realsense2_camera_msgs.egg-info/SOURCES.txt'
[0.495s] [ 93%] Built target realsense2_camera_msgs__rosidl_typesupport_fastrtps_c__pyext
[0.510s] [ 96%] Built target realsense2_camera_msgs__rosidl_typesupport_c__pyext
[0.519s] [100%] Built target realsense2_camera_msgs__rosidl_typesupport_introspection_c__pyext
[0.531s] [100%] Built target ament_cmake_python_build_realsense2_camera_msgs_egg
[0.613s] Invoked command in '/home/sparklab/sparklab/gnss-ros_ws/build/realsense2_camera_msgs' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/humble /usr/bin/cmake --build /home/sparklab/sparklab/gnss-ros_ws/build/realsense2_camera_msgs -- -j4 -l4
[0.614s] Invoking command in '/home/sparklab/sparklab/gnss-ros_ws/build/realsense2_camera_msgs': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/humble /usr/bin/cmake --install /home/sparklab/sparklab/gnss-ros_ws/build/realsense2_camera_msgs
[0.623s] -- Install configuration: ""
[0.623s] -- Execute custom install script
